iter	Passed	Remaining
0	0	88
1	1	77
2	2	70
3	2	63
4	3	61
5	3	60
6	4	59
7	5	60
8	5	59
9	6	58
10	7	57
11	8	58
12	9	65
13	10	64
14	11	63
15	11	62
16	12	60
17	13	60
18	13	58
19	14	57
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	53
27	20	52
28	21	51
29	21	51
30	23	51
31	24	51
32	24	50
33	25	48
34	25	47
35	26	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	29	40
42	30	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	36
48	34	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	32
54	38	31
55	38	30
56	39	29
57	39	28
58	40	28
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	48	18
73	49	17
74	49	16
75	50	15
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	10
85	57	9
86	57	8
87	58	7
88	59	7
89	59	6
90	60	5
91	60	5
92	61	4
93	62	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	66	0
